log_path,executed_notebook_path,batch_root,date_time,batch_id,execution_number,run_id,dataset_id,notebook_name,software,model_class,accuracy,precision,recall,f1_score,loss,roc_auc,pr_auc,tn,fp,fn,tp,fpr,fnr,n_params,trainable_params,macs_per_sample,model_size_MB,throughput_samples_per_sec,Throughput,thouput,gpu_peak_MB,elapsed_sec,n_test_samples,checkpoint_path,run_dir,macs_estimation_note,tracking_note
E:\RECUPERACAO_HD\arm_arc - Paper ICC\CNSM_2026\results\batches\batch_20260630_135112\logs\batch_20260630_135112_exec001_1BLSTM_cjpeg-rose7-preset.txt,E:\RECUPERACAO_HD\arm_arc - Paper ICC\CNSM_2026\results\batches\batch_20260630_135112\executed_notebooks\batch_20260630_135112_exec001_1BLSTM_cjpeg-rose7-preset_executed.ipynb,E:\RECUPERACAO_HD\arm_arc - Paper ICC\CNSM_2026\results\batches\batch_20260630_135112,2026-06-30T13:51:49,batch_20260630_135112,1,batch_20260630_135112_exec001_1BLSTM_cjpeg-rose7-preset,manual_stage0_dataset,1BLSTM.ipynb,cjpeg-rose7-preset.exe,BLSTM,0.5494155154091392,0.581668625146886,0.3508150248051027,0.4376657824933687,0.674944040752496,0.6060694201568815,0.6070389765451872,1056,356,916,495,0.2521246458923513,0.6491849751948973,42625,42625,,0.1655731201171875,38844.17475173955,38844.17475173955,38844.17475173955,69.2900390625,,2823,E:\RECUPERACAO_HD\arm_arc - Paper ICC\CNSM_2026\results\batches\batch_20260630_135112\runs\exec001_1BLSTM_cjpeg-rose7-preset\model\checkpoint_state_dict.pth,E:\RECUPERACAO_HD\arm_arc - Paper ICC\CNSM_2026\results\batches\batch_20260630_135112\runs\exec001_1BLSTM_cjpeg-rose7-preset,not_available_without_extra_forward_pass_existing_evaluation_only,Saved from metrics already computed by the notebook; no additional test-loader evaluation was executed.
E:\RECUPERACAO_HD\arm_arc - Paper ICC\CNSM_2026\results\batches\batch_20260702_232719\logs\batch_20260702_232719_exec001_1BLSTM_cjpeg-rose7-preset.txt,E:\RECUPERACAO_HD\arm_arc - Paper ICC\CNSM_2026\results\batches\batch_20260702_232719\executed_notebooks\batch_20260702_232719_exec001_1BLSTM_cjpeg-rose7-preset_executed.ipynb,E:\RECUPERACAO_HD\arm_arc - Paper ICC\CNSM_2026\results\batches\batch_20260702_232719,2026-07-02T23:27:56,batch_20260702_232719,1,batch_20260702_232719_exec001_1BLSTM_cjpeg-rose7-preset,manual_stage0_dataset,1BLSTM.ipynb,cjpeg-rose7-preset.exe,BLSTM,0.5494155154091392,0.581668625146886,0.3508150248051027,0.4376657824933687,0.674944040752496,0.6060694201568815,0.6070389765451872,1056,356,916,495,0.2521246458923513,0.6491849751948973,42625,42625,,0.1655731201171875,42442.03079062732,42442.03079062732,42442.03079062732,69.2900390625,,2823,E:\RECUPERACAO_HD\arm_arc - Paper ICC\CNSM_2026\results\batches\batch_20260702_232719\runs\exec001_1BLSTM_cjpeg-rose7-preset\model\checkpoint_state_dict.pth,E:\RECUPERACAO_HD\arm_arc - Paper ICC\CNSM_2026\results\batches\batch_20260702_232719\runs\exec001_1BLSTM_cjpeg-rose7-preset,not_available_without_extra_forward_pass_existing_evaluation_only,Saved from metrics already computed by the notebook; no additional test-loader evaluation was executed.
C:\CNSM_2026\results\batches\batch_20260702_234319\logs\batch_20260702_234319_exec001_1BLSTM_cjpeg-rose7-preset.txt,C:\CNSM_2026\results\batches\batch_20260702_234319\executed_notebooks\batch_20260702_234319_exec001_1BLSTM_cjpeg-rose7-preset_executed.ipynb,C:\CNSM_2026\results\batches\batch_20260702_234319,2026-07-02T23:43:53,batch_20260702_234319,1,batch_20260702_234319_exec001_1BLSTM_cjpeg-rose7-preset,manual_stage0_dataset,1BLSTM.ipynb,cjpeg-rose7-preset.exe,BLSTM,0.5494155154091392,0.581668625146886,0.3508150248051027,0.4376657824933687,0.674944040752496,0.6060694201568815,0.6070389765451872,1056,356,916,495,0.2521246458923513,0.6491849751948973,42625,42625,,0.1655731201171875,41116.62925125185,41116.62925125185,41116.62925125185,69.2900390625,,2823,C:\CNSM_2026\results\batches\batch_20260702_234319\runs\exec001_1BLSTM_cjpeg-rose7-preset\model\checkpoint_state_dict.pth,C:\CNSM_2026\results\batches\batch_20260702_234319\runs\exec001_1BLSTM_cjpeg-rose7-preset,not_available_without_extra_forward_pass_existing_evaluation_only,Saved from metrics already computed by the notebook; no additional test-loader evaluation was executed.
C:\CNSM_2026\results\batches\batch_20260702_234319\logs\batch_20260702_234319_exec002_1BLSTM_core.txt,C:\CNSM_2026\results\batches\batch_20260702_234319\executed_notebooks\batch_20260702_234319_exec002_1BLSTM_core_executed.ipynb,C:\CNSM_2026\results\batches\batch_20260702_234319,2026-07-03T01:43:12,batch_20260702_234319,2,batch_20260702_234319_exec002_1BLSTM_core,manual_stage0_dataset,1BLSTM.ipynb,core.exe,BLSTM,0.9125670035088498,0.9115425171941642,0.8508542551159819,0.8801534837778284,0.291852765026565,0.9658792896307492,0.9545440950066856,213419,11241,20305,115837,0.050035609365263,0.1491457448840181,42625,42625,,0.1655731201171875,37030.66519387071,37030.66519387071,37030.66519387071,69.2900390625,,360802,C:\CNSM_2026\results\batches\batch_20260702_234319\runs\exec002_1BLSTM_core\model\checkpoint_state_dict.pth,C:\CNSM_2026\results\batches\batch_20260702_234319\runs\exec002_1BLSTM_core,not_available_without_extra_forward_pass_existing_evaluation_only,Saved from metrics already computed by the notebook; no additional test-loader evaluation was executed.
C:\CNSM_2026\results\batches\batch_20260702_234319\logs\batch_20260702_234319_exec003_1BLSTM_linear_alg-mid-100x100-sp.txt,C:\CNSM_2026\results\batches\batch_20260702_234319\executed_notebooks\batch_20260702_234319_exec003_1BLSTM_linear_alg-mid-100x100-sp_executed.ipynb,C:\CNSM_2026\results\batches\batch_20260702_234319,2026-07-03T01:43:24,batch_20260702_234319,3,batch_20260702_234319_exec003_1BLSTM_linear_alg-mid-100x100-sp,manual_stage0_dataset,1BLSTM.ipynb,linear_alg-mid-100x100-sp.exe,BLSTM,0.7622641509433963,0.5272727272727272,0.4393939393939394,0.4793388429752066,0.965777027382041,0.6608040201005025,0.4909770379587124,173,26,37,29,0.1306532663316583,0.5606060606060606,42625,42625,,0.1655731201171875,37866.33597928662,37866.33597928662,37866.33597928662,69.2900390625,,265,C:\CNSM_2026\results\batches\batch_20260702_234319\runs\exec003_1BLSTM_linear_alg-mid-100x100-sp\model\checkpoint_state_dict.pth,C:\CNSM_2026\results\batches\batch_20260702_234319\runs\exec003_1BLSTM_linear_alg-mid-100x100-sp,not_available_without_extra_forward_pass_existing_evaluation_only,Saved from metrics already computed by the notebook; no additional test-loader evaluation was executed.
C:\CNSM_2026\results\batches\batch_20260702_234319\logs\batch_20260702_234319_exec004_1BLSTM_loops-all-mid-10k-sp.txt,C:\CNSM_2026\results\batches\batch_20260702_234319\executed_notebooks\batch_20260702_234319_exec004_1BLSTM_loops-all-mid-10k-sp_executed.ipynb,C:\CNSM_2026\results\batches\batch_20260702_234319,2026-07-03T01:43:45,batch_20260702_234319,4,batch_20260702_234319_exec004_1BLSTM_loops-all-mid-10k-sp,manual_stage0_dataset,1BLSTM.ipynb,loops-all-mid-10k-sp.exe,BLSTM,0.5776782638649672,0.4422413793103448,0.4697802197802198,0.455595026642984,0.8542649373489127,0.5760295750632581,0.4676336640943492,1164,647,579,513,0.3572611816675869,0.5302197802197802,42625,42625,,0.1655731201171875,36374.80100018223,36374.80100018223,36374.80100018223,69.2900390625,,2903,C:\CNSM_2026\results\batches\batch_20260702_234319\runs\exec004_1BLSTM_loops-all-mid-10k-sp\model\checkpoint_state_dict.pth,C:\CNSM_2026\results\batches\batch_20260702_234319\runs\exec004_1BLSTM_loops-all-mid-10k-sp,not_available_without_extra_forward_pass_existing_evaluation_only,Saved from metrics already computed by the notebook; no additional test-loader evaluation was executed.
C:\CNSM_2026\results\batches\batch_20260702_234319\logs\batch_20260702_234319_exec005_1BLSTM_nnet_test.txt,C:\CNSM_2026\results\batches\batch_20260702_234319\executed_notebooks\batch_20260702_234319_exec005_1BLSTM_nnet_test_executed.ipynb,C:\CNSM_2026\results\batches\batch_20260702_234319,2026-07-03T01:43:58,batch_20260702_234319,5,batch_20260702_234319_exec005_1BLSTM_nnet_test,manual_stage0_dataset,1BLSTM.ipynb,nnet_test.exe,BLSTM,0.4977355072463768,0.4930811808118081,0.9907321594068582,0.6584539574992301,0.7080285981081534,0.5024483024418995,0.4989926027760814,30,1099,10,1069,0.9734278122232064,0.0092678405931417,42625,42625,,0.1655731201171875,35502.57128289663,35502.57128289663,35502.57128289663,58.5087890625,,2208,C:\CNSM_2026\results\batches\batch_20260702_234319\runs\exec005_1BLSTM_nnet_test\model\checkpoint_state_dict.pth,C:\CNSM_2026\results\batches\batch_20260702_234319\runs\exec005_1BLSTM_nnet_test,not_available_without_extra_forward_pass_existing_evaluation_only,Saved from metrics already computed by the notebook; no additional test-loader evaluation was executed.
C:\CNSM_2026\results\batches\batch_20260702_234319\logs\batch_20260702_234319_exec006_1BLSTM_parser-125k.txt,C:\CNSM_2026\results\batches\batch_20260702_234319\executed_notebooks\batch_20260702_234319_exec006_1BLSTM_parser-125k_executed.ipynb,C:\CNSM_2026\results\batches\batch_20260702_234319,2026-07-03T01:44:18,batch_20260702_234319,6,batch_20260702_234319_exec006_1BLSTM_parser-125k,manual_stage0_dataset,1BLSTM.ipynb,parser-125k.exe,BLSTM,0.590818363273453,0.5580524344569289,0.6313559322033898,0.5924453280318092,0.7126943511877232,0.6347537575951391,0.588565470474231,147,118,87,149,0.4452830188679245,0.3686440677966102,42625,42625,,0.1655731201171875,33223.91702504427,33223.91702504427,33223.91702504427,58.5087890625,,501,C:\CNSM_2026\results\batches\batch_20260702_234319\runs\exec006_1BLSTM_parser-125k\model\checkpoint_state_dict.pth,C:\CNSM_2026\results\batches\batch_20260702_234319\runs\exec006_1BLSTM_parser-125k,not_available_without_extra_forward_pass_existing_evaluation_only,Saved from metrics already computed by the notebook; no additional test-loader evaluation was executed.
C:\CNSM_2026\results\batches\batch_20260702_234319\logs\batch_20260702_234319_exec007_1BLSTM_radix2-big-64k.txt,C:\CNSM_2026\results\batches\batch_20260702_234319\executed_notebooks\batch_20260702_234319_exec007_1BLSTM_radix2-big-64k_executed.ipynb,C:\CNSM_2026\results\batches\batch_20260702_234319,2026-07-03T01:45:24,batch_20260702_234319,7,batch_20260702_234319_exec007_1BLSTM_radix2-big-64k,manual_stage0_dataset,1BLSTM.ipynb,radix2-big-64k.exe,BLSTM,0.5259784535660712,0.4335311572700296,0.4824966974900925,0.4567052203813692,0.8135738350612542,0.5253805365945715,0.4276205401719958,2396,1909,1567,1461,0.443437862950058,0.5175033025099075,42625,42625,,0.1655731201171875,36505.281386678944,36505.281386678944,36505.281386678944,69.2900390625,,7333,C:\CNSM_2026\results\batches\batch_20260702_234319\runs\exec007_1BLSTM_radix2-big-64k\model\checkpoint_state_dict.pth,C:\CNSM_2026\results\batches\batch_20260702_234319\runs\exec007_1BLSTM_radix2-big-64k,not_available_without_extra_forward_pass_existing_evaluation_only,Saved from metrics already computed by the notebook; no additional test-loader evaluation was executed.
C:\CNSM_2026\results\batches\batch_20260702_234319\logs\batch_20260702_234319_exec008_1BLSTM_sha-test.txt,C:\CNSM_2026\results\batches\batch_20260702_234319\executed_notebooks\batch_20260702_234319_exec008_1BLSTM_sha-test_executed.ipynb,C:\CNSM_2026\results\batches\batch_20260702_234319,2026-07-03T01:45:31,batch_20260702_234319,8,batch_20260702_234319_exec008_1BLSTM_sha-test,manual_stage0_dataset,1BLSTM.ipynb,sha-test.exe,BLSTM,0.5384615384615384,0.4166666666666667,0.6730769230769231,0.5147058823529411,0.8657549382089735,0.606403212172443,0.4366197478346613,42,49,17,35,0.5384615384615384,0.3269230769230769,42625,42625,,0.1655731201171875,35752.59132093467,35752.59132093467,35752.59132093467,69.2900390625,,143,C:\CNSM_2026\results\batches\batch_20260702_234319\runs\exec008_1BLSTM_sha-test\model\checkpoint_state_dict.pth,C:\CNSM_2026\results\batches\batch_20260702_234319\runs\exec008_1BLSTM_sha-test,not_available_without_extra_forward_pass_existing_evaluation_only,Saved from metrics already computed by the notebook; no additional test-loader evaluation was executed.
